word,rating,tag,neighbours,photos
emulation,2.12,middle,"['embroider', 'emu', 'ember']","['50331451052_27690cd540_c.jpg', '6808545683_7ac830b209_c.jpg', '52771783466_3552704995_c.jpg', '4094821418_58e7cf7bfe_c.jpg', '26031941481_d5b64497ec_c.jpg', '25838827250_0b5413dcb0_c.jpg', '26075887432_666ec61897_c.jpg', '25645652734_6a464a24f6_c.jpg', '25937974286_bb641fc60b_c.jpg', '50406860847_4a0b92eb12_c.jpg', '51275374110_50ce81788b_c.jpg', '50740992532_0400ee913b_c.jpg']"
giganticness,2.83,middle,"['giant', 'largemouth', 'mammoth']","['3899676415_e4ba94fe4c_c.jpg', '11916881295_e89c7ab7c6_c.jpg', '51211037776_0f1d74660c_c.jpg', '34141956_95c713aceb_c.jpg', '51981104709_43e27d27c2_c.jpg', '3828262544_ecedc70985_c.jpg', '4761519165_27645d116b_c.jpg', '7776083928_6dd046a2c5_c.jpg', '31414984404_d210c1d32b_c.jpg', '157692278_cdc4b625d2_c.jpg', '157692281_430565f16b_c.jpg']"
hysteric,2.93,middle,"['hyphen', 'hypnotist', 'whimper']","['6104650005_0f0659f3e9_c.jpg', '832639841_15585afb4b_c.jpg', '4882889450_aae66c57f8_c.jpg', '3469344836_5f7111d475_c.jpg', '3469345598_40891446ca_c.jpg', '3103143123_ed13564db3_c.jpg', '8679075468_3c2c49562b_c.jpg', '52707113226_ac01823aeb_c.jpg', '6252829452_b9fe6ba861_c.jpg', '7936662332_0970d0a184_c.jpg']"
mispronounce,2.63,middle,"['dictionary', 'hyphen', 'initials']","['50079862463_da710797d8_c.jpg', '43194359892_5dc060604b_c.jpg', '3745559121_0aa15d43a9_c.jpg', '6104650005_0f0659f3e9_c.jpg', '2905576587_bccdabd811_c.jpg', '3772293314_2a5bb74758_c.jpg', '48204043186_26efb3ba82_c.jpg', '2662884277_31d9e64b22_c.jpg']"
habilitation,2.7,middle,"['haemorrhage', 'hymen', 'stem']","['9580384607_967717d78b_c.jpg', '9580382593_d1ea7f1577_c.jpg', '9583165018_2d3df74a8e_c.jpg', '4507173669_4ef0260cdb_c.jpg', '49286301581_ae956f913b_c.jpg', '3899361492_8709f1a915_c.jpg', '8902623143_4b84471306_c.jpg', '8902628989_63d0c1b327_c.jpg', '2715368969_86c8639862_c.jpg', '11175908006_5661f3a25a_c.jpg']"
awardee,3.87,middle,"['award', 'prize winner', 'prize']","['51012999460_809a800b10_c.jpg', '51080992361_da95725fa6_c.jpg', '4321888169_2d2c4eea4f_c.jpg', '51079185688_b6db04b3c7_c.jpg', '310427864_32ed78ce55_c.jpg', '14473490307_92fdc78645_c.jpg', '14656714631_ca88977bbd_c.jpg', '14659934985_c7f93a3779_c.jpg', '5359375327_c2ce74140b_c.jpg', '23685137230_be8e6955f0_c.jpg', '4083238947_3b0921a138_c.jpg', '4576401877_fe0e3eceba_c.jpg']"
stardom,2.26,middle,"['star', 'movie star', 'film star']","['52239649403_fff3fd4028_c.jpg', '15188916669_95e4b9257a_c.jpg', '52702920226_67a2656389_c.jpg', '52239058485_737f41541b_c.jpg', '224086614_e75f5e814e_c.jpg', '36173955342_ccc4d437c4_c.jpg', '3607568327_e7823c1af5_c.jpg', '51521345603_9fc37512c3_c.jpg', '7957681902_93de2f91ec_c.jpg', '27080255975_4af5a1bcdb_c.jpg', '2774424642_a11d2b4b75_c.jpg', '2071395138_72d1e5621a_c.jpg']"
residue,3.78,middle,"['powder', 'stain', 'debris']","['52109061591_7665ab67c9_c.jpg', '19250635531_01e13361d4_c.jpg', '272425587_ccb4c62f5d_c.jpg', '18673782263_c67dcc036a_c.jpg', '39900287530_3614f13e13_c.jpg', '5537519612_816962ac86_c.jpg', '32181722690_c72ea6ec90_c.jpg', '8451917048_765023bff6_c.jpg', '24777549005_8d2645ceb5_c.jpg', '13491383495_952d35ceb9_c.jpg', '16680089106_049b26b96a_c.jpg', '309380260_9cda698b0a_c.jpg']"
emphasis,2.12,middle,"['italics', 'note', 'exclamation mark']","['12837131873_a3dd06a5cc_c.jpg', '4596286103_5f4248e1f4_c.jpg', '2566397254_b530a2cd62_c.jpg', '1891248940_00e25db273_c.jpg', '51411459255_93d21dd55d_c.jpg', '50984619068_b9aea6b361_c.jpg', '26119891593_8b2604548d_c.jpg', '8395332239_005bbcac45_c.jpg', '19685636278_b0183dc23e_c.jpg', '3944352249_bbebf7b489_c.jpg']"
upcountry,2.5,middle,"['ranchland', 'backwoodsman', 'countryside']","['51323040838_0fa5a2b8fe_c.jpg', '14813681095_686751484b_c.jpg', '49659937343_ede11c615d_c.jpg', '25981838577_96a4d896ce_c.jpg', '53189127374_24d6c1b5a4_c.jpg', '3589646943_4560d1968f_c.jpg', '51610773528_9d9006d5e7_c.jpg', '8252030287_0fae72a0ef_c.jpg', '20354975265_9e454370ed_c.jpg', '49724821912_06831d9f00_c.jpg', '27092481526_4da79556d4_c.jpg', '1918757810_c7ce4b3fa5_c.jpg']"
